Sr No.,ISO3,Country,Continent,Hemisphere,1990,1995,2000,2005,2010,2013,2018,Total CO2 Emissions
108,MAR,Morocco,Africa,Northern Hemisphere,1.53,1.64,1.76,2.07,2.23,2.33,2.62,14.18
109,MOZ,Mozambique,Africa,Southern Hemisphere,1.38,1.23,1.03,1.09,1.09,1.04,1.19,8.049999999999999
110,MMR,Myanmar,Asia,Northern Hemisphere,1.37,1.52,1.6,1.78,1.84,1.92,2.23,12.260000000000002
111,NAM,Namibia,Africa,Southern Hemisphere,5.17,5.41,5.31,5.05,5.21,4.87,4.87,35.89
112,NRU,Nauru,Australia,Southern Hemisphere,14.23,11.02,8.86,6.71,4.94,4.53,6.03,56.32
113,NPL,Nepal,Asia,Northern Hemisphere,1.07,1.11,1.16,1.12,1.22,1.29,1.82,8.79
114,NLD,Netherlands,Europe,Northern Hemisphere,13.18,13.93,12.85,12.4,12.01,11.09,10.37,85.83000000000001
115,NZL,New Zealand,Australia,Southern Hemisphere,19.01,18.27,18.4,18.77,16.86,16.62,16.6,124.53
116,NIC,Nicaragua,America,Northern Hemisphere,2.26,1.94,2.33,2.43,2.42,2.37,2.95,16.7
117,NER,Niger,Africa,Northern Hemisphere,1.35,1.4,1.43,1.44,1.49,1.44,2.01,10.559999999999999
118,NGA,Nigeria,Africa,Northern Hemisphere,2.11,2.04,1.94,2.05,1.79,1.77,1.59,13.29
119,PRK,North Korea,Asia,Northern Hemisphere,7.68,4.92,4.12,4.27,3.83,2.55,1.64,29.01
120,NOR,Norway,Europe,Northern Hemisphere,10.69,10.59,10.48,10.41,10.09,9.18,8.91,70.35000000000001
121,OMN,Oman,Asia,Northern Hemisphere,22.0,22.92,27.97,25.84,27.82,27.43,17.04,171.02
122,PAK,Pakistan,Asia,Northern Hemisphere,1.43,1.54,1.6,1.72,1.8,1.8,2.03,11.92
123,PLW,Palau,Australia,Northern Hemisphere,6.556168831168831,6.98,6.74,10.3,11.64,17.03,17.93,77.17616883116884
124,PAN,Panama,America,Northern Hemisphere,2.93,3.37,3.37,3.83,4.24,4.45,4.31,26.5
125,PNG,Papua New Guinea,Australia,Southern Hemisphere,2.09,2.68,2.31,2.22,2.08,2.16,2.67,16.21
126,PRY,Paraguay,America,Southern Hemisphere,5.25,5.71,5.08,4.92,5.56,5.81,7.07,39.4
127,PER,Peru,America,Southern Hemisphere,1.94,2.07,2.27,2.34,2.77,2.82,3.01,17.22
128,PHL,Philippines,Asia,Northern Hemisphere,1.45,1.68,1.73,1.67,1.65,1.74,2.18,12.1
129,POL,Poland,Europe,Northern Hemisphere,11.23,10.7,9.4,9.6,9.82,9.43,10.26,70.44
130,PRT,Portugal,Europe,Northern Hemisphere,5.67,6.61,7.6,7.76,6.14,5.89,6.5,46.17
131,QAT,Qatar,Asia,Northern Hemisphere,29.75,37.3,41.58,52.1,39.13,36.82,35.89,272.57
132,COG,Republic of the Congo,Africa,Southern Hemisphere,1.07,1.69,1.41,1.88,1.67,1.46,1.79,10.969999999999999
133,ROU,Romania,Europe,Northern Hemisphere,10.12,7.31,5.84,6.29,5.67,5.46,5.6,46.29
134,RUS,Russia,Europe,Northern Hemisphere,6.556168831168831,14.45,13.92,14.7,15.21,15.31,17.6,97.74616883116883
135,RWA,Rwanda,Africa,Southern Hemisphere,0.52,0.63,0.54,0.56,0.61,0.6,0.5,3.96
